순번,금융 상품명,전처리 대출 한도,대출 한도,전처리 이자율,이자율 ,전처리 최대 상환 기간,최대 상환 기간,상환 방법,대출종류명,대상,금융회사 명,지역,전처리 된 연령 시작,전처리 된 연령 끝,연령 제한,수급자여부,전처리 소득 시작 조건,전처리 소득 끝 조건,전처리 신용점수 시작,전처리 신용점수 이하,대출 조건,신청 방법,보증료율,연락처,상품 기간
22,저소득주민 생활안정융자금 대출 (학자금),500,500,0,무이자,4,4,균등분할상환,학자금,금융취약계층,경기도 고양시,경기,19,69,19~69세,0,0,999999,0,1000,「국민기초생활 보장법」에 의한 수급자 및 차상위계층,신청자가 직접 주소지 관할 동행정복지센터에 방문 접수,0.03,031-8075-3252행정지원과 민원콜센터 031-909-9000,기관 문의
23,저소득 주민생활 안정자금 지원,1000,1000,2,2,5,5,원(리)금균등분할상환,주거,금융취약계층,경기도 성남시,경기,0,99,없음,0,0,999999,0,1000,기초생활 수급자 및 차상위층,"주소지 관할 행정복지센터, 각 구청 사회복지과 방문",-,"각 구청 사회복지과(수정구 031-729-5217, 중원구 031-729-6216, 분당구 031-729-7212)",지자체 사업계획에 따라 상시모집
24,경기도 중소기업 육성자금(운전_일반기업),50000,50000,0,-,2,2,균등분할상환,운영·시설,중소기업,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,"경기신보 각 지점 및 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) 방문",-,"경기신용보증재단 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) 및 각 지점 (1577-5900)",연중 수시(자금 소진시까지)
25,경기도 중소기업 육성자금(운전_신기술기업),50000,50000,0,-,2,2,균등분할상환,운영·시설,중소기업 등,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,"경기신보 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) 방문",-,"경기신용보증재단 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) (031-888-5561, 5563)",연중 수시(자금 소진시까지)
26,경기도 중소기업 육성자금(운전_벤처창업기업),50000,50000,0,-,2,2,균등분할상환,운영·시설,중소기업 등,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,"경기신보 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) 방문",-,"경기신용보증재단 기술평가센터(남부), 기술평가센터(중부), 기술평가센터(북부) (031-888-5561, 5563)",연중 수시(자금 소진시까지)
27,경기도 중소기업 육성자금(운전_여성창업기업),50000,50000,0,-,2,2,균등분할상환,운영·시설,여성기업,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,경기신용보증재단 각 지점,-,경기신용보증재단 1577-5900,연중 수시(자금 소진시까지)
28,"경기도 중소기업 육성자금(소상공인지원_경영개선, (재)창업)",10000,10000,0,-,4,4,균등분할상환,"창업, 운영·시설",소상공인,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,경기신용보증재단 각 지점 방문,-,경기신용보증재단 1577-5900,연중 수시(자금 소진시까지)
29,경기도 중소기업 육성자금(점포 임차보증금),5000,5000,0,-,4,4,균등분할상환,운영·시설,소상공인,경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,경기신용보증재단 각 지점 방문,-,경기신용보증재단 1577-5900,연중 수시(자금 소진시까지)
30,경기도 중소기업 육성자금(운전_청년혁신 창업기업),50000,50000,0,-,3,3,균등분할상환,운영·시설,중소기업,경기신용보증재단,경기,20,39,만20세 이상 만 39세 이하 (대표자),1,0,999999,0,1000,없음,경기신용보증재단 각 지점 방문,-,경기신용보증재단 1577-5900,연중 수시(자금 소진시까지)
31,경기도 중소기업 육성자금(소상공인 지원자금),15000,15000,3.52,은행금리-이차보전율,4,4,거치기간 후 균등분할상환,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5900),-,경기신용보증재단 각 지점 (1577-5900),연중 수시(자금 소진시까지)
32,영세 온라인사업자 특별보증,10000,10000,3.52,은행금리,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5900),-,경기신용보증재단 각 지점 (1577-5900),2019.10.14 부터 시행
33,개인택시 운송사업면허 양수비용지원 특례보증,8000,8000,2.02,은행금리-1.5%,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5901),-,경기신용보증재단 각 지점 (1577-5900),2018.04.12 부터 시행
34,북한이탈주민 특별보증,5000,5000,3.52,은행금리,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5902),-,경기신용보증재단 각 지점 (1577-5900),2015.06.16 부터 시행
35,전통시장 특례보증,2000,2000,3.52,은행금리,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5903),-,경기신용보증재단 각 지점 (1577-5900),2016.01.15 부터 시행
36,한국은행 경기본부 중소기업 지원자금 연계보증(소상공인),"10,000","(중소기업) 80,000(소상공인) 10,000",3.52,은행금리,1,1,만기일시상환,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5904),-,경기신용보증재단 각 지점 (1577-5900),2016.07.11~자금소진시
37,지역상권 활성화를 위한 특별출연 협약보증,5000,5000,3.52,은행금리,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5905),-,경기신용보증재단 각 지점 (1577-5900),2016.12.22.부터 시행
38,콘텐츠기업 지원 특례보증,50000,50000,3.52,은행금리,0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5908),-,경기신용보증재단 각 지점 (1577-5900),기관 문의
39,창업실패자 재도전 희망특례보증,10000,10000,1.52,은행금리-이차보전(2%),0,-,-,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,999999,0,1000,없음,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5909),-,경기신용보증재단 각 지점 (1577-5900),2014.11.01.부터 시행 (상세기한은 기관 문의 필요)
40,경기도 취약 소상공인 자금(특별지원자금),"5,000","(창업자금) 3,000(경영개선자금) 2,000(특별지원자금) 5,000",4.15,4.15,5,5,원리금균등분할상환,운영·시설,"사업자, 소상공인",경기신용보증재단,경기,0,99,없음,1,0,5000,0,1000,(금융소외자) 연소득이 50백만원 이하,상담 및 문의 : 경기신용보증재단 각 지점 (1577-5911),-,경기신용보증재단 각 지점 (1577-5900),2021.03.30 ~ 자금 소진 시까지
41,경북 버팀금융 특례보증,5000,5000,3.5,특정금리,5,"2, 5","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,없음,기관 문의,-,경북신용보증재단 054-474-7100,-
42,경산시 소상공인 특례보증,2000,2000,2.5,이자지원 2년간 2.5%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.02.15. ~ 한도 소진 시까지
43,경주시 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.10.20. ~ 한도 소진 시까지
44,고령군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.05.13.(금) ~ 한도 소진 시까지
45,구미시 소상공인 특례보증,3000,3000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.10.20. ~ 한도 소진 시까지
46,문경시 소상공인 특례보증,2000,2000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.11.11. ~ 한도 소진시까지
47,봉화군 소상공인 특례보증,2000,2000,2.5,이자지원 2년간 2.5%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.04.01. ~ 한도 소진 시까지
48,상주시 소상공인 특례보증,3000,3000,3,이자지원 2년간 3.0%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.02.23. ~ 한도 소진 시까지
49,생활안정자금,1200,1200,0,0,3,3,원(리)금균등분할상환,운영·시설,금융취약계층,경상북도 김천시,경북,0,99,없음,0,0,999999,0,1000,"국민기초생활보장수급자(생계,의료) 대상",김천시 읍ㆍ면사무소 및 동주민센터,-,064-420-6738,연중 수시접수
50,생활안정자금(의성군),1000,1000,0,무이자,3,3,균등분할상환,"운영·시설, 생계, 주거, 학자금, 기타",금융취약계층,경상북도 의성군,경북,0,99,없음,0,0,999999,0,1000,기초생활보장수급자 해당,"의성군 읍.면사무소 방문(융자희망 가구의 세대주가 대부신청서를 작성, 같은 읍면에 거주하는 세대주 2인의 연대보증인 필요)",가계일반대출의 연체이자율,의성군청 복지과 054-830-6209 또는 읍면 사회복지담당자,기관 문의
51,성장촉진자금,10000,10000,0,-,3,3,,운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,상시
52,성주군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.08.16.(화) ~ 한도 소진 시까지
53,소상공인 특별출연 금융기관 협약보증,10000,10000,0,-,4,"1, 4","분할상환, 만기일시상환",운영·시설,소상공인,경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,없음,경북신용보증재단 각 지점 방문,-,경북신용보증재단 054-474-7100,한도 소진 시까지
54,영덕군 소상공인 특례보증,2000,2000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2021.04.16. ~ 한도 소진 시 까지
55,영양군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.10.25. ~ 한도 소진 시까지
56,영주시 소상공인 특례보증,3000,3000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.01.27. ~ 한도 소진 시까지
57,영천시 소상공인 특례보증,3000,3000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.01.28. ~ 한도 소진 시까지
58,예천군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2023.01.25. ~ 한도 소진 시까지
59,울릉군 소상공인 특례보증,3000,3000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.03.22. ~ 한도 소진 시까지
60,울진군 소상공인 특례보증,3000,3000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2021.04.21. ~ 한도 소진 시 까지
61,의성군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.04.22. ~ 한도 소진 시까지
62,일반경영안정자금,7000,7000,1,1,3,3,,운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,상시
63,전세입주보증금,2000,2000,0,0,0,0,만기일시상환(1회연장가능),주거,금융취약계층,경상북도 김천시,경북,0,99,없음,0,0,999999,0,1000,"국민기초생활보장수급자(생계,의료) 대상",김천시 읍ㆍ면사무소 및 동주민센터,-,064-420-6738,연중 수시접수
64,소상공인 사업장 구입자금,100000,100000,2.5,은행금리-1.0,10,은행별 상이 (8~10년),"일시상환방식, 분할상환방식",운영·시설,소상공인,경상남도,경남,0,99,없음,1,0,999999,0,1000,없음,"은행에서 접수ㆍ대출심사 실행 처리- NH농협은행경남본부(전 지점), BNK경남은행(전 지점)",금융기관 여신규정에 의함,경상남도 소상공인정책과 055-211-3433,2021.4.1~자금 소진 시까지
65,경상남도 중소기업 육성자금 지원(경영),100000,100000,3.5,특정금리,1,"0, 1","만기일시상황, 균등분할상환",운영·시설,사업자,경남투자경제진흥원,경남,0,99,없음,1,0,999999,0,1000,없음,도내 자금 취급기관(15개 금융기관) 각 지점 방문,-,경남투자경제진흥원 055-230-2901~3경상남도 소재 1금융권 각 지점경상남도 소재 새마을금고중앙회 및 신협중앙회 각 지점,2023.1.16.~예산 소진시까지
66,경상남도 중소기업 육성자금 지원(시설),200000,200000,3.5,특정금리,6,"3, 5, 6",균등분할상환,운영·시설,사업자,경남투자경제진흥원,경남,0,99,없음,1,0,999999,0,1000,없음,도내 자금 취급기관(15개 금융기관) 각 지점 방문,-,경남투자경제진흥원 055-230-2901~3경상남도 소재 1금융권 각 지점경상남도 소재 새마을금고중앙회 및 신협중앙회 각 지점,2023.1.16.~예산 소진시까지
67,경상남도 중소기업 육성자금 지원(시설설비자금),"200,000","경영안정자금: 100,000시설설비자금: 200,000",3.5,특정금리,6,"0,1,3,5,6","만기일시상환(2년), 원리금균등분할상환",운영·시설,중소기업,경상남도 경제진흥원,경남,0,99,없음,1,0,999999,0,1000,없음,"접수처 : 16개 취급기관- 14개 은행 : 경남, 농협, 국민, 부산, 신한, 우리, 제일, 기업, 하나, 산업, 대구, 수협, 새마을, 신협- 2개 기금 : 신용보증기금, 기술보증기금",-,경남경제진흥원(☏055-230-2901~3)경상남도 홈페이지(https://www.gyeongnam.go.kr) 「도정소식 - 고시공고」경남경제진흥원 홈페이지(https://www.gnepa.or.kr) 「지원사업안내 - 사업공고」‘중소기업육성자금 지원계획 변경공고’ 게시 예정,2022. 7. 1. ~ 자금 소진 시까지
68,저소득주민 생활안정자금 융자,1000,1000,2,2,3,3,분할상환,"운영·시설, 생계, 주거, 학자금, 기타","금융취약계층, 기타",경상남도 사천시,경남,0,99,없음,0,0,999999,0,1000,기초생활보장수급자 해당,"사천시 읍면사무소, 동주민센터 방문",-,055-831-2612,기관 문의
69,청도군 소상공인 특례보증,3000,3000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.05.13.(금) ~ 한도 소진 시까지
70,청도군 중소기업 특례보증,10000,10000,2,이자지원 2년간 2%,2,2,만기일시상환,운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2021.03.30. ~ 한도 소진 시까지
71,청송군 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.07.29.(금) ~ 한도 소진 시까지
72,칠곡군 소상공인 특례보증,3000,3000,2,이자지원 2년간 2%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2021.11.01. ~ 한도소진 시 까지
73,포항시 소상공인 특례보증,2000,2000,3,이자지원 2년간 3%,3,"0, 3","만기일시상환, 분할상환",운영·시설,"사업자, 소상공인",경북신용보증재단,경북,0,99,없음,1,0,999999,0,1000,,기관 문의,,경북신용보증재단 054-474-7100,2022.03.28. ~ 한도 소진 시 까지
74,금융기관 협약보증,20000,20000,0,-,4,"1, 4","균등분할상환, 만기일시상환",운영·시설,"소기업, 소상공인",광주신용보증재단,광주,0,99,없음,1,0,999999,0,1000,없음,광주신용보증재단 홈페이지에서 보증상담 예약,-,광주신용보증재단 062-950-0011,자금 소진시까지
75,남구 영세소상공인 특례보증,2000,2000,0,-,4,"1, 4","균등분할상환, 만기일시상환",운영·시설,"사업자, 소상공인",광주신용보증재단,광주,0,99,없음,1,0,999999,0,1000,없음,광주신용보증재단 홈페이지에서 보증상담 예약,-,광주신용보증재단 062-950-0011,자금 소진시까지
76,서구 영세소상공인 특례보증,2000,2000,0,-,5,"1, 5","균등분할상환, 만기일시상환",운영·시설,"사업자, 소상공인",광주신용보증재단,광주,0,99,없음,1,0,999999,0,1000,없음,광주신용보증재단 홈페이지에서 보증상담 예약,-,광주신용보증재단 062-950-0011,자금 소진시까지
77,노후긴급자금대부,1000,"최대 1,000만원(연간 연금수령액 2배 이내 실소요비용)",0,5년 만기 국고채권 수익률 기준으로 분기별 변동금리 적용,5,5,원금균등분할상환,"의료비, 배우자장제비, 전월세보증금, 재해복구비","만60세 이상 국민연금수급자 (노령,분할,유족,장애1~3급 수급자",국민연금공단,전국,60,99,만 60세 이상,1,0,999999,0,1000,없음,국민연금공단 지사 또는 상담센터 직접 방문,대부금 이자율의 2배,방문 전 국민연금 콜센터(☎ 1355 유료) 또는 지사에 문의,2012.5.~현재
78,햇살론15,2000,2000,15.9,15.9,5,"3 ,5",원리금균등분할상환,생계,"근로자, 사업자, 연금소득자 등",국민행복기금,전국,0,99,없음,1,0,3500,0,1000,"연 3,500만원 이하 (개인신용평점 하위 20%에 해당하는자는 연 4,500만원 이하)","1397 사전상담, 서금원 및 은행(신한, 전북, 우리, 광주, 부산, 하나, 카카오뱅크) 모바일 앱, 14개 은행 지점 및 서민금융통합지원센터 방문",0.03,"서민금융콜센터 (국번없이)1397, 각 협약은행 콜센터",상시
